so_detail_id,prefix,year,month,sec_number,product_id,unit_order_qty,kilos_order_qty,special_instructions,date_entered,bid_price_per_unit,completed_and_billed,final_ship_date
27,,21,12,055,5,41,1030.77,NULL,NULL,NULL,NULL,NULL
28,,21,12,056,5,43,1055.91,NULL,NULL,NULL,NULL,NULL
29,,21,12,057,40,2645,NULL,NULL,NULL,NULL,NULL,NULL
30,,21,12,058,106,10000,NULL,NULL,NULL,NULL,NULL,NULL
31,,21,12,059,109,2750,NULL,NULL,NULL,NULL,NULL,NULL
32,,21,12,060,107,10000,NULL,NULL,NULL,NULL,NULL,NULL
33,,21,12,061,5,54,1350,NULL,NULL,NULL,NULL,NULL
34,,21,12,062,28,15245,NULL,NULL,NULL,NULL,NULL,NULL
35,,21,12,062,30,3400,NULL,NULL,NULL,NULL,NULL,NULL
36,,22,01,001,49,300,NULL,NULL,NULL,NULL,NULL,NULL
37,,22,01,001,52,250,NULL,NULL,NULL,NULL,NULL,NULL
38,,22,01,001,55,250,NULL,NULL,NULL,NULL,NULL,NULL
39,,22,01,001,56,250,NULL,NULL,NULL,NULL,NULL,NULL
40,,22,01,001,66,250,NULL,NULL,NULL,NULL,NULL,NULL
41,,22,01,001,70,300,NULL,NULL,NULL,NULL,NULL,NULL
42,,22,01,001,75,500,NULL,NULL,NULL,NULL,NULL,NULL
43,,22,01,001,55,400,NULL,NULL,NULL,NULL,NULL,NULL
44,,22,01,001,83,44,1092,NULL,NULL,NULL,NULL,NULL
45,,22,01,002,5,2000,74,NULL,NULL,NULL,NULL,NULL
46,,22,01,003,27,26,650,NULL,NULL,NULL,NULL,NULL
47,,22,01,004,5,3000,738,NULL,NULL,NULL,NULL,NULL
48,,22,01,005,9,750,129.86,NULL,NULL,NULL,NULL,NULL
49,,22,01,006,53,1000,173.1,NULL,NULL,NULL,NULL,NULL
50,,22,01,006,62,1500,502,NULL,NULL,NULL,NULL,NULL
51,,22,01,006,66,5000,975,NULL,NULL,NULL,NULL,NULL
52,,22,01,006,67,2500,2296,NULL,NULL,NULL,NULL,NULL
53,,22,01,006,69,5000,1159,NULL,NULL,NULL,NULL,NULL
54,,22,01,006,70,5500,5010,NULL,NULL,NULL,NULL,NULL
55,,22,01,006,75,1760,NULL,NULL,NULL,NULL,NULL,NULL
56,,22,01,007,34,2220,NULL,NULL,NULL,NULL,NULL,NULL
57,,22,01,008,23,21,521.92,NULL,NULL,NULL,NULL,NULL
58,,22,01,009,5,44,1100,NULL,NULL,NULL,NULL,NULL
59,,22,01,010,5,11000,NULL,NULL,NULL,NULL,NULL,NULL
60,,22,02,011,37,2564,NULL,NULL,NULL,NULL,NULL,NULL
61,,22,02,012,47,58,1450,NULL,NULL,NULL,NULL,NULL
62,,22,02,013,5,550,237.5,NULL,NULL,NULL,NULL,NULL
63,,22,02,014,80,40,1000,NULL,NULL,NULL,NULL,NULL
64,,22,02,015,5,1000,44.3,NULL,NULL,NULL,NULL,NULL
65,,22,02,016,99,100,134.7,NULL,NULL,NULL,NULL,NULL
66,,22,02,017,93,40,1000,NULL,NULL,NULL,NULL,NULL
67,,22,03,018,5,1050,NULL,NULL,NULL,NULL,NULL,NULL
68,,22,03,019,97,40,1000,NULL,NULL,NULL,NULL,NULL
69,,22,03,020,5,1700,NULL,NULL,NULL,NULL,NULL,NULL
70,,22,03,021,89,10000,NULL,NULL,NULL,NULL,NULL,NULL
71,,22,04,022,48,3000,94.5,NULL,NULL,NULL,NULL,NULL
72,,22,04,023,43,330,NULL,NULL,NULL,NULL,NULL,NULL
73,,22,04,024,84,2700,NULL,NULL,NULL,NULL,NULL,NULL
74,,22,04,025,28,17310,NULL,NULL,NULL,NULL,NULL,NULL
75,,22,04,025,30,1000,NULL,NULL,NULL,NULL,NULL,NULL
76,,22,05,026,24,1000,NULL,NULL,NULL,NULL,NULL,NULL
77,,22,05,027,25,1000,NULL,NULL,NULL,NULL,NULL,NULL
78,,22,05,027,26,4000,NULL,NULL,NULL,NULL,NULL,NULL
79,,22,05,028,39,1000,NULL,NULL,NULL,NULL,NULL,NULL
80,,22,06,029,18,1000,NULL,NULL,NULL,NULL,NULL,NULL
81,,22,06,030,2,1000,NULL,NULL,NULL,NULL,NULL,NULL
82,,22,06,031,3,1000,NULL,NULL,NULL,NULL,NULL,NULL
83,,22,06,032,74,1480,60,NULL,NULL,NULL,NULL,NULL
84,,22,06,033,7,500,NULL,NULL,NULL,NULL,NULL,NULL
85,,22,06,034,81,500,NULL,NULL,NULL,NULL,NULL,NULL
86,,22,06,034,76,3000,NULL,NULL,NULL,NULL,NULL,NULL
87,,22,06,035,113,2300,156.5,NULL,NULL,NULL,NULL,NULL
88,,22,06,036,90,3111,140,NULL,NULL,NULL,NULL,NULL
89,,22,06,037,42,1708,NULL,NULL,NULL,NULL,NULL,NULL
90,,22,06,039,40,1190,NULL,NULL,NULL,NULL,NULL,NULL
91,,22,06,040,46,225,NULL,NULL,NULL,NULL,NULL,NULL
92,,22,06,040,45,1305,NULL,NULL,NULL,NULL,NULL,NULL
93,,22,06,041,48,10000,NULL,NULL,NULL,NULL,NULL,NULL
94,,22,06,042,92,1500,NULL,NULL,NULL,NULL,NULL,NULL
95,,22,07,043,34,2345,NULL,NULL,NULL,NULL,NULL,NULL
96,,22,07,044,85,1150,NULL,NULL,NULL,NULL,NULL,NULL
97,,22,07,045,89,2000,NULL,NULL,NULL,NULL,NULL,NULL
98,,22,07,046,103,150,NULL,NULL,NULL,NULL,NULL,NULL
99,,22,07,047,79,500,NULL,NULL,NULL,NULL,NULL,NULL
100,,22,07,047,80,500,NULL,NULL,NULL,NULL,NULL,NULL
101,,22,07,048,30,17310,NULL,NULL,NULL,NULL,NULL,NULL
102,,22,07,049,112,3000,NULL,NULL,NULL,NULL,NULL,NULL
