prefix,year,month,sec_number,suffix,product_id,po_detail_id,target_unit_yield,actual_unit_yield,batch_printed,bpr_printed,exp_date,exp_type
,22,02,052,,5,62,12,NULL,1,1,NULL,NULL
,22,02,053,,5,62,12,NULL,1,1,NULL,NULL
,22,02,054,,5,62,8,NULL,1,1,NULL,NULL
,22,02,055,,5,62,8,NULL,1,1,NULL,NULL
,22,02,056,,5,62,9,NULL,1,1,NULL,NULL
,22,02,057,,5,62,9,NULL,1,1,NULL,NULL
,22,02,058,,80,63,550,549,1,1,NULL,NULL
,22,02,059,,5,64,10,NULL,1,1,NULL,NULL
,22,02,060,,5,64,10,NULL,1,1,NULL,NULL
,22,02,061,,5,64,10,NULL,1,1,NULL,NULL
,22,02,062,,5,64,10,NULL,1,1,NULL,NULL
,22,02,063,,99,65,1000,9966,1,1,NULL,NULL
,22,02,064,,93,66,1000,1011,1,1,NULL,NULL
,22,03,065,,5,67,10,10,1,1,NULL,NULL
,22,03,066,,5,67,10,10,1,1,NULL,NULL
,22,03,067,,5,67,10,10,1,1,NULL,NULL
,22,03,068,,5,67,10,10,1,1,NULL,NULL
,22,03,069,,97,68,1050,957,1,1,NULL,NULL
,22,03,070,,5,69,10,10,1,1,NULL,NULL
,22,03,071,,5,69,10,10,1,1,NULL,NULL
,22,03,072,,5,69,10,249,1,1,NULL,NULL
,22,03,073,,5,69,10,10,1,1,NULL,NULL
,22,03,074,,89,70,1700,1610,1,1,NULL,NULL
,22,04,075,,9,48,1000,1006,1,1,NULL,NULL
,22,04,076,,43,72,3000,3202,1,1,NULL,NULL
,22,04,077,,84,73,330,297,1,1,NULL,NULL
,22,04,078,,48,71,5000,5071,1,1,NULL,NULL
,22,04,079,,48,71,5000,5089,1,1,NULL,NULL
,22,04,080,,28,74,2700,2700,1,1,NULL,NULL
,22,05,081,,24,76,1000,1075,1,1,NULL,NULL
,22,05,082,,25,77,1000,1026,1,1,NULL,NULL
,22,05,083,,26,78,1000,1013,1,1,NULL,NULL
,22,06,084,,39,79,4000,3955,1,1,NULL,NULL
,22,06,085,,18,80,1000,1019,1,1,NULL,NULL
,22,06,086,,113,87,3000,NULL,1,1,NULL,NULL
,22,06,087,,2,81,1000,981,1,1,NULL,NULL
,22,06,088,,3,82,1000,964,1,1,NULL,NULL
,22,06,089,,90,88,2300,2275,1,1,NULL,NULL
,22,06,090,,42,89,3111,3195,1,1,NULL,NULL
,22,06,091,,7,84,379,375,1,1,NULL,NULL
,22,06,092,,7,84,512,506,1,1,NULL,NULL
,22,06,093,,7,84,512,507,1,1,NULL,NULL
,22,06,094,,46,91,225,222,1,1,NULL,NULL
,22,06,095,,45,92,1305,1303,1,1,NULL,NULL
,22,06,096,,48,93,5000,5177,1,1,NULL,NULL
,22,06,097,,48,93,5000,5022,1,1,NULL,NULL
,22,06,098,A,92,94,1500,NULL,1,1,NULL,NULL
,22,07,099,,40,90,573,532,1,1,NULL,NULL
,22,07,100,,40,90,617,664,1,1,NULL,NULL
,22,07,101,,34,95,2434,2345,1,1,NULL,NULL
,22,06,098,B,92,94,1339,NULL,1,1,NULL,NULL
,22,06,098,C,92,94,NULL,NULL,1,1,NULL,NULL
,22,07,102,,85,96,1150,NULL,1,1,NULL,NULL
