po_detail_id,prefix,year,month,sec_number,product_id,unit_order_qty,kilos_order_qty,special_instructions,date_entered,bid_price_per_unit,completed_and_billed,final_ship_date
74,,22,4,25,28,17310,NULL,NULL,NULL,NULL,NULL,NULL
75,,22,4,25,30,1000,NULL,NULL,NULL,NULL,NULL,NULL
76,,22,5,26,24,1000,NULL,NULL,NULL,NULL,NULL,NULL
77,,22,5,27,25,1000,NULL,NULL,NULL,NULL,NULL,NULL
78,,22,5,27,26,4000,NULL,NULL,NULL,NULL,NULL,NULL
79,,22,5,28,39,1000,NULL,NULL,NULL,NULL,NULL,NULL
80,,22,6,29,18,1000,NULL,NULL,NULL,NULL,NULL,NULL
81,,22,6,30,2,1000,NULL,NULL,NULL,NULL,NULL,NULL
82,,22,6,31,3,1000,NULL,NULL,NULL,NULL,NULL,NULL
83,,22,6,32,74,1480,60,NULL,NULL,NULL,NULL,NULL
84,,22,6,33,7,500,NULL,NULL,NULL,NULL,NULL,NULL
85,,22,6,34,81,500,NULL,NULL,NULL,NULL,NULL,NULL
86,,22,6,34,76,3000,NULL,NULL,NULL,NULL,NULL,NULL
87,,22,6,35,113,2300,156.5,NULL,NULL,NULL,NULL,NULL
88,,22,6,36,90,3111,140,NULL,NULL,NULL,NULL,NULL
89,,22,6,37,42,1708,NULL,NULL,NULL,NULL,NULL,NULL
90,,22,6,39,40,1190,NULL,NULL,NULL,NULL,NULL,NULL
91,,22,6,40,46,225,NULL,NULL,NULL,NULL,NULL,NULL
92,,22,6,40,45,1305,NULL,NULL,NULL,NULL,NULL,NULL
93,,22,6,41,48,10000,NULL,NULL,NULL,NULL,NULL,NULL
94,,22,6,42,92,1500,NULL,NULL,NULL,NULL,NULL,NULL
95,,22,7,43,34,2345,NULL,NULL,NULL,NULL,NULL,NULL
96,,22,7,44,85,1150,NULL,NULL,NULL,NULL,NULL,NULL
97,,22,7,45,89,2000,NULL,NULL,NULL,NULL,NULL,NULL
98,,22,7,46,103,150,NULL,NULL,NULL,NULL,NULL,NULL
99,,22,7,47,79,500,NULL,NULL,NULL,NULL,NULL,NULL
100,,22,7,47,80,500,NULL,NULL,NULL,NULL,NULL,NULL
101,,22,7,48,30,17310,NULL,NULL,NULL,NULL,NULL,NULL
102,,22,7,49,112,3000,NULL,NULL,NULL,NULL,NULL,NULL
103,,22,8,50,87,85,10.39,NULL,NULL,NULL,NULL,NULL
104,,22,8,51,8,1000,113.4,NULL,NULL,NULL,NULL,NULL
105,,22,8,52,89,2000,NULL,NULL,NULL,NULL,NULL,NULL
106,,22,8,53,75,1000,702,NULL,NULL,NULL,NULL,NULL
107,,22,8,53,82,1000,702,NULL,NULL,NULL,NULL,NULL
108,,22,8,54,110,1500,NULL,NULL,NULL,NULL,NULL,NULL
109,,22,8,55,95,300,NULL,NULL,NULL,NULL,NULL,NULL
110,,22,8,56,74,1000,175,NULL,NULL,NULL,NULL,NULL
111,,22,9,57,42,3111,NULL,NULL,NULL,NULL,NULL,NULL
112,,22,9,58,40,5700,NULL,NULL,NULL,NULL,NULL,NULL
113,,22,9,59,41,1250,NULL,NULL,NULL,NULL,NULL,NULL
114,,22,9,60,9,1000,250.3,NULL,NULL,NULL,NULL,NULL
115,,22,9,60,9,1500,375.44,NULL,NULL,NULL,NULL,NULL
116,,22,9,60,9,1,10,NULL,NULL,NULL,NULL,NULL
117,,22,9,61,43,5110,NULL,NULL,NULL,NULL,NULL,NULL
118,,22,9,62,99,1000,NULL,NULL,NULL,NULL,NULL,NULL
119,,22,9,63,70,550,NULL,NULL,NULL,NULL,NULL,NULL
120,,22,9,63,56,450,NULL,NULL,NULL,NULL,NULL,NULL
121,,22,9,63,83,400,NULL,NULL,NULL,NULL,NULL,NULL
122,,22,9,64,92,1000,NULL,NULL,NULL,NULL,NULL,NULL
123,,22,9,65,14,1000,NULL,NULL,NULL,NULL,NULL,NULL
124,,22,9,65,15,1000,NULL,NULL,NULL,NULL,NULL,NULL
125,,22,9,66,73,1000,150,NULL,NULL,NULL,NULL,NULL
126,,22,10,67,44,3075,NULL,NULL,NULL,NULL,NULL,NULL
127,,22,10,68,50,1000,175,NULL,NULL,NULL,NULL,NULL
128,,22,10,68,51,1000,219.45,NULL,NULL,NULL,NULL,NULL
129,,22,10,68,56,5000,2240,NULL,NULL,NULL,NULL,NULL
130,,22,10,68,72,750,247,NULL,NULL,NULL,NULL,NULL
131,,22,10,68,83,5000,1550,NULL,NULL,NULL,NULL,NULL
132,,22,10,69,68,1000,250,NULL,NULL,NULL,NULL,NULL
133,,22,10,70,90,2150,NULL,NULL,NULL,NULL,NULL,NULL
134,,22,10,71,111,3000,NULL,NULL,NULL,NULL,NULL,NULL
135,,22,10,71,107,5000,NULL,NULL,NULL,NULL,NULL,NULL
136,,22,10,72,97,1075,NULL,NULL,NULL,NULL,NULL,NULL
137,,22,11,73,85,800,39.85,NULL,NULL,NULL,NULL,NULL
138,,22,11,74,91,1000,NULL,NULL,NULL,NULL,NULL,NULL
139,,22,11,75,30,14211,NULL,NULL,NULL,NULL,NULL,NULL
140,,22,11,75,28,3000,NULL,NULL,NULL,NULL,NULL,NULL
141,,22,11,76,88,2000,165.84,NULL,NULL,NULL,NULL,NULL
142,,22,11,76,99,500,22.15,NULL,NULL,NULL,NULL,NULL
143,,22,11,77,108,3000,NULL,NULL,NULL,NULL,NULL,NULL
144,,22,11,78,104,150,NULL,NULL,NULL,NULL,NULL,NULL
145,,22,11,79,33,1000,NULL,NULL,NULL,NULL,NULL,NULL
146,,22,12,80,96,363,NULL,NULL,NULL,NULL,NULL,NULL
147,,22,12,81,80,2000,NULL,NULL,NULL,NULL,NULL,NULL
148,,22,12,81,75,1500,NULL,NULL,NULL,NULL,NULL,NULL
149,,22,12,81,82,1500,NULL,NULL,NULL,NULL,NULL,NULL
150,,22,12,82,98,125,7.3,NULL,NULL,NULL,NULL,NULL
151,,22,12,83,105,267,NULL,NULL,NULL,NULL,NULL,NULL
152,,22,12,84,29,275,NULL,NULL,NULL,NULL,NULL,NULL
153,,22,12,84,31,1100,NULL,NULL,NULL,NULL,NULL,NULL
154,,22,12,85,9,2000,NULL,NULL,NULL,NULL,NULL,NULL
155,,22,12,85,35,1000,NULL,NULL,NULL,NULL,NULL,NULL
156,,23,1,1,19,2100,NULL,NULL,NULL,NULL,NULL,NULL
157,,23,1,2,33,5000,NULL,NULL,NULL,NULL,NULL,NULL
158,,23,1,3,28,1090,NULL,NULL,NULL,NULL,NULL,NULL
159,,23,1,3,30,17500,NULL,NULL,NULL,NULL,NULL,NULL
160,,23,1,4,26,1000,NULL,NULL,NULL,NULL,NULL,NULL
161,,23,1,5,11,1000,NULL,NULL,NULL,NULL,NULL,NULL
